                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4016,                 3.0058,                  1.497,                0.42748,                0.31371,                0.29516,                0.12825,                 1.9502,                 2.5508,                 1.9095,              0.0002351,              0.0002351,              0.0002351
                      2,                 1.2902,                 1.8639,                  1.431,                0.50762,                0.41815,                0.41951,                0.18481,                 1.9078,                 2.0447,                 1.8916,             0.00045749,             0.00045749,             0.00045749
                      3,                 1.2392,                 1.6559,                 1.4015,                0.58239,                0.42679,                0.44671,                0.20578,                  1.902,                 2.0317,                 1.8733,             0.00066417,             0.00066417,             0.00066417
                      4,                 1.2218,                 1.5577,                 1.3788,                0.60943,                0.46619,                0.48278,                0.20638,                 1.9196,                 1.9551,                 1.8579,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1909,                  1.472,                  1.353,                0.60535,                0.44526,                0.48604,                0.20251,                 2.0362,                 2.0536,                 1.9964,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.1639,                 1.4161,                 1.3326,                0.67887,                 0.5104,                0.56525,                 0.2392,                 1.9794,                 1.8255,                 1.9577,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.1581,                 1.3608,                 1.3202,                0.70017,                 0.5214,                0.57999,                  0.258,                 1.9283,                 1.6494,                 1.8789,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.1354,                 1.2997,                 1.2964,                0.73311,                0.56307,                0.61593,                0.29354,                  1.791,                 1.5204,                 1.7625,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.1156,                  1.255,                 1.2883,                0.71347,                0.53462,                0.58562,                0.29302,                 1.7587,                 1.6008,                 1.7397,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.1015,                 1.2094,                 1.2758,                0.75503,                0.54731,                0.61326,                0.29747,                 1.8301,                 1.4786,                 1.8143,              0.0005255,              0.0005255,              0.0005255
                     11,                  1.076,                 1.1845,                 1.2667,                0.73074,                0.60357,                0.63396,                0.29643,                 1.7929,                 1.4309,                 1.7693,             0.00050194,             0.00050194,             0.00050194
                     12,                 1.0649,                 1.1313,                  1.249,                 0.7733,                0.59859,                0.66583,                0.34529,                 1.6762,                 1.3262,                 1.6893,             0.00047838,             0.00047838,             0.00047838
                     13,                 1.0565,                 1.1216,                 1.2426,                0.72992,                0.58282,                0.63736,                0.31383,                 1.7738,                 1.3753,                 1.7458,             0.00045482,             0.00045482,             0.00045482
                     14,                 1.0506,                 1.1016,                 1.2366,                0.82237,                 0.6101,                0.67717,                0.33552,                 1.7658,                 1.2645,                 1.6984,             0.00043126,             0.00043126,             0.00043126
                     15,                 1.0205,                 1.0708,                 1.2265,                0.78582,                0.61679,                 0.6734,                 0.3618,                 1.6493,                 1.2733,                 1.6382,             0.00040769,             0.00040769,             0.00040769
                     16,                 1.0283,                 1.0413,                 1.2202,                0.75557,                 0.6309,                0.68175,                 0.3518,                 1.6817,                 1.2368,                 1.6606,             0.00038413,             0.00038413,             0.00038413
                     17,                 1.0112,                  1.016,                 1.2081,                0.80567,                0.63267,                0.68849,                 0.3366,                 1.8071,                 1.2374,                  1.747,             0.00036057,             0.00036057,             0.00036057
                     18,                0.99395,                 0.9948,                 1.1975,                0.83345,                0.60894,                0.70686,                0.36067,                 1.6583,                 1.1903,                 1.6711,             0.00033701,             0.00033701,             0.00033701
                     19,                0.98681,                0.98292,                 1.1992,                0.76985,                0.61924,                0.69045,                0.34313,                 1.7124,                 1.2285,                 1.7119,             0.00031345,             0.00031345,             0.00031345
                     20,                0.98495,                0.96612,                  1.193,                0.81594,                0.65012,                0.70115,                0.33176,                 1.8307,                 1.2161,                 1.8002,             0.00028988,             0.00028988,             0.00028988
                     21,                  1.017,                0.91998,                 1.2157,                0.83697,                0.64993,                0.72491,                0.39715,                 1.5507,                 1.1298,                 1.5746,             0.00026632,             0.00026632,             0.00026632
                     22,                 0.9909,                0.87037,                  1.203,                0.76832,                0.67829,                0.72251,                0.39955,                 1.5666,                 1.1023,                 1.5895,             0.00024276,             0.00024276,             0.00024276
                     23,                0.97833,                0.84365,                 1.1886,                0.84949,                0.64625,                0.73698,                0.41508,                   1.54,                 1.0515,                 1.5594,              0.0002192,              0.0002192,              0.0002192
                     24,                0.96368,                0.82072,                 1.1753,                0.84087,                0.67144,                0.74637,                0.42063,                 1.5353,                 1.0106,                  1.554,             0.00019564,             0.00019564,             0.00019564
                     25,                0.95085,                0.80771,                 1.1679,                0.84129,                0.68445,                0.74684,                0.41741,                 1.5358,                 1.0198,                 1.5637,             0.00017207,             0.00017207,             0.00017207
                     26,                0.93593,                0.79278,                 1.1625,                0.82666,                 0.6803,                0.75291,                0.42656,                 1.5002,                0.97371,                 1.5288,             0.00014851,             0.00014851,             0.00014851
                     27,                0.92428,                0.76741,                 1.1506,                0.86571,                0.68474,                0.75944,                0.43683,                 1.5027,                 0.9758,                 1.5314,             0.00012495,             0.00012495,             0.00012495
                     28,                0.91381,                0.75808,                 1.1452,                0.83395,                0.68241,                0.75332,                0.43754,                 1.4546,                 0.9382,                 1.5097,             0.00010139,             0.00010139,             0.00010139
                     29,                0.89899,                0.74139,                 1.1369,                0.84316,                0.68817,                0.75762,                0.43434,                 1.4915,                 0.9624,                 1.5398,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.88961,                0.72999,                 1.1293,                0.83537,                  0.714,                0.77277,                0.44571,                 1.4525,                0.92956,                  1.512,             5.4264e-05,             5.4264e-05,             5.4264e-05
